1000010,Abu Dhabi,"Abu Dhabi,Abu Dhabi,United Arab Emirates",9041082,AE,City,Active
1000011,Ajman,"Ajman,Ajman,United Arab Emirates",9047096,AE,City,Active
1000012,Al Ain,"Al Ain,Abu Dhabi,United Arab Emirates",9041082,AE,City,Active
1000013,Dubai,"Dubai,Dubai,United Arab Emirates",9041083,AE,City,Active
1000014,Ras Al-Khaimah,"Ras Al-Khaimah,Ras al Khaimah,United Arab Emirates",9047098,AE,City,Active
1000018,Salta,"Salta,Salta Province,Argentina",20008,AR,City,Active
1000021,Avellaneda,"Avellaneda,Buenos Aires Province,Argentina",20009,AR,City,Active
1000024,Bahia Blanca,"Bahia Blanca,Buenos Aires Province,Argentina",20009,AR,City,Active
1000025,Balcarce,"Balcarce,Buenos Aires Province,Argentina",20009,AR,City,Active
1000027,Brandsen,"Brandsen,Buenos Aires Province,Argentina",20009,AR,City,Active
1000028,Campana,"Campana,Buenos Aires Province,Argentina",20009,AR,City,Active
1000029,Chacabuco,"Chacabuco,Buenos Aires Province,Argentina",20009,AR,City,Active
1000030,Colon,"Colon,Buenos Aires Province,Argentina",20009,AR,City,Active
1000031,Del Viso,"Del Viso,Pilar,Buenos Aires Province,Argentina",20009,AR,City,Active
1000035,Isidro Casanova,"Isidro Casanova,Buenos Aires Province,Argentina",20009,AR,City,Active
1000036,Junin,"Junin,Buenos Aires Province,Argentina",20009,AR,City,Active
1000037,La Plata,"La Plata,Buenos Aires Province,Argentina",20009,AR,City,Active
1000039,Lomas de Zamora,"Lomas de Zamora,Buenos Aires Province,Argentina",20009,AR,City,Active
1000040,Luis Guillon,"Luis Guillon,Buenos Aires Province,Argentina",20009,AR,City,Active
1000041,Lujan,"Lujan,Buenos Aires Province,Argentina",20009,AR,City,Active
1000042,Mar del Plata,"Mar del Plata,Buenos Aires Province,Argentina",20009,AR,City,Active
1000044,Moron,"Moron,Buenos Aires Province,Argentina",20009,AR,City,Active
1000045,Olavarria,"Olavarria,Buenos Aires Province,Argentina",20009,AR,City,Active
1000047,Pergamino,"Pergamino,Buenos Aires Province,Argentina",20009,AR,City,Active
1000050,Pinamar,"Pinamar,Buenos Aires Province,Argentina",20009,AR,City,Active
1000053,Quilmes,"Quilmes,Buenos Aires Province,Argentina",20009,AR,City,Active
1000058,San Antonio de Padua,"San Antonio de Padua,Buenos Aires Province,Argentina",20009,AR,City,Active
1000059,San Fernando,"San Fernando,Buenos Aires Province,Argentina",20009,AR,City,Active
1000060,San Isidro,"San Isidro,Buenos Aires Province,Argentina",20009,AR,City,Active
1000062,San Nicolas de los Arroyos,"San Nicolas de los Arroyos,Buenos Aires Province,Argentina",20009,AR,City,Active
1000063,San Pedro,"San Pedro,Buenos Aires Province,Argentina",20009,AR,City,Active
1000065,Tandil,"Tandil,Buenos Aires Province,Argentina",20009,AR,City,Active
1000066,Tortuguitas,"Tortuguitas,Buenos Aires Province,Argentina",20009,AR,City,Active
1000067,Trenque Lauquen,"Trenque Lauquen,Buenos Aires Province,Argentina",20009,AR,City,Active
1000069,Vicente Lopez,"Vicente Lopez,Buenos Aires Province,Argentina",20009,AR,City,Active
1000070,Villa Gesell,"Villa Gesell,Buenos Aires Province,Argentina",20009,AR,City,Active
1000072,Zarate,"Zarate,Buenos Aires Province,Argentina",20009,AR,City,Active
1000073,Buenos Aires,"Buenos Aires,Autonomous City of Buenos Aires,Argentina",20010,AR,City,Active
1000075,Concepcion del Uruguay,"Concepcion del Uruguay,Entre Rios,Argentina",20011,AR,City,Active
1000077,Gualeguaychu,"Gualeguaychu,Entre Rios,Argentina",20011,AR,City,Active
1000078,Parana,"Parana,Entre Rios,Argentina",20011,AR,City,Active
1000080,La Rioja,"La Rioja,La Rioja Province,Argentina",20012,AR,City,Active
1000081,Santiago del Estero,"Santiago del Estero,Santiago del Estero Province,Argentina",21298,AR,City,Active
1000082,Resistencia,"Resistencia,Chaco Province,Argentina",20013,AR,City,Active
1000085,San Juan,"San Juan,San Juan Province,Argentina",20014,AR,City,Active
1000088,General Pico,"General Pico,La Pampa Province,Argentina",20016,AR,City,Active
1000089,Santa Rosa,"Santa Rosa,La Pampa Province,Argentina",20016,AR,City,Active
1000092,Mendoza,"Mendoza,Mendoza Province,Argentina",20017,AR,City,Active
1000094,San Martin,"San Martin,Mendoza Province,Argentina",20017,AR,City,Active
1000095,San Rafael,"San Rafael,Mendoza Province,Argentina",20017,AR,City,Active
1000096,Posadas,"Posadas,Misiones Province,Argentina",20018,AR,City,Active
1000097,Formosa,"Formosa,Formosa Province,Argentina",21299,AR,City,Active
1000099,Neuquen,"Neuquen,Neuquen,Argentina",20019,AR,City,Active
1000100,San Martin de los Andes,"San Martin de los Andes,Neuquen,Argentina",20019,AR,City,Active
1000104,San Carlos de Bariloche,"San Carlos de Bariloche,Rio Negro,Argentina",20020,AR,City,Active
1000105,Viedma,"Viedma,Rio Negro,Argentina",20020,AR,City,Active
1000108,Rafaela,"Rafaela,Santa Fe Province,Argentina",20021,AR,City,Active
1000109,Rosario,"Rosario,Santa Fe Province,Argentina",20021,AR,City,Active
1000112,Santa Fe,"Santa Fe,Santa Fe Province,Argentina",20021,AR,City,Active
1000114,Venado Tuerto,"Venado Tuerto,Santa Fe Province,Argentina",20021,AR,City,Active
1000115,Villa Constitucion,"Villa Constitucion,Santa Fe Province,Argentina",20021,AR,City,Active
1000116,San Miguel de Tucuman,"San Miguel de Tucuman,Tucuman,Argentina",20022,AR,City,Active
1000117,Comodoro Rivadavia,"Comodoro Rivadavia,Chubut Province,Argentina",20023,AR,City,Active
1000119,Puerto Madryn,"Puerto Madryn,Chubut Province,Argentina",20023,AR,City,Active
1000121,Rio Grande,"Rio Grande,Tierra del Fuego Province,Argentina",20024,AR,City,Active
1000122,Ushuaia,"Ushuaia,Tierra del Fuego Province,Argentina",20024,AR,City,Active
1000123,Corrientes,"Corrientes,Corrientes Province,Argentina",20025,AR,City,Active
1000126,Cordoba,"Cordoba,Cordoba,Argentina",20026,AR,City,Active
1000128,Rio Cuarto,"Rio Cuarto,Cordoba,Argentina",20026,AR,City,Active
1000129,San Francisco,"San Francisco,Cordoba,Argentina",20026,AR,City,Active
1000130,Villa Maria,"Villa Maria,Cordoba,Argentina",20026,AR,City,Active